Year,Annual_men,Annual_women,Annual_white,Annual_whitemen,Annual_whitewomen,Annual_afamer,Annual_afamer_M,Annual_afamer_W,Annual_hispanic,Annual_hispanic_M,Annual_hispanic_W,Annual_noHS
1979,292,182,248,298,184,199,227,169,194,219,157,210
1980,313,201,269,320,203,212,244,185,209,234,172,222
1981,340,219,291,350,221,235,268,206,223,251,190,240
1982,364,239,310,375,242,245,278,217,240,269,203,248
1983,379,252,320,387,254,261,294,232,250,274,215,256
1984,392,265,336,401,268,269,303,241,259,287,223,263
1985,407,277,356,418,281,277,305,252,270,296,230,270
1986,419,291,371,433,294,291,319,264,277,299,241,278
1987,434,303,384,450,307,301,327,276,285,306,251,284
1988,449,315,395,465,318,314,348,288,290,308,260,288
1989,468,328,409,482,334,319,348,301,298,315,269,297
1990,481,346,424,494,353,329,361,308,304,318,278,303
1991,493,366,442,506,373,348,375,323,312,323,292,307
1992,501,380,458,514,387,357,380,335,321,339,302,311
1993,510,393,475,524,401,369,392,348,331,346,313,314
1994,522,399,484,547,408,371,400,346,324,343,305,307
1995,538,406,494,566,415,383,411,355,329,350,305,309
1996,557,418,506,580,428,387,412,362,339,356,316,317
1997,579,431,519,595,444,400,432,375,351,371,318,321
1998,598,456,545,615,468,426,468,400,370,390,337,337
1999,618,473,573,638,483,445,488,409,385,406,348,346
2000,641,493,590,662,502,474,510,429,399,417,366,362
2001,670,512,610,689,522,491,529,454,417,440,388,382
2002,679,529,623,702,547,498,524,473,424,451,397,388
2003,695,552,636,715,567,514,555,491,440,464,410,396
2004,713,573,657,732,584,525,569,505,456,480,419,401
2005,722,585,672,743,596,520,559,499,471,489,429,409
2006,743,600,690,761,609,554,591,519,486,505,440,419
2007,766,614,716,788,626,569,600,533,503,520,473,428
2008,798,638,742,825,654,589,620,554,529,559,501,453
2009,819,657,757,845,669,601,621,582,541,569,509,454
2010,824,669,765,850,684,611,633,592,535,560,508,444
2011,832,684,775,856,703,615,653,595,549,571,518,451
2012,854,691,792,879,710,621,665,599,568,592,521,471
2013,860,706,802,884,722,629,664,606,578,594,541,472
2014,871,719,816,897,734,639,680,611,594,616,548,488
2015,895,726,835,920,743,641,680,615,604,631,566,493
2016,915,749,862,942,766,678,718,641,624,663,586,504
2017,941,770,890,971,795,682,710,657,655,690,603,520
